"clusterType","clusterDimensions","cluster","nClusters","nFolios","cumRet","mu","sigma","skew","kurt","maxDD","ir","timingLoss","CPTUtility_100","utilityType"
"hierarchical","cumRet_sigma_skew_maxDD",4,8,2374,2.20969054017233,0.00453280275770437,0.0210035059506867,-0.924253435593337,9.72278663718682,36.2885760862422,0.224076272004333,-0.925021061499579,0.00225225077843302,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",5,8,1711,2.68733498286424,0.0056964151566538,0.0253117969685206,-1.18728828654703,12.0781602875377,43.5038906387943,0.228573869909581,-1.00173419819682,0.00376785258270018,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",6,8,563,3.23979835543997,0.0072190417466722,0.0401007416156178,-0.926665582555008,10.4796077541756,81.3092343767199,0.180978921516425,-0.137786448475672,0.00577185919893428,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",7,8,283,2.75206351041829,0.00651431905113664,0.0450354920413264,-0.773794299630831,7.16936747192961,113.390865302115,0.144795043163763,-0.210855587093784,0.00241075693639576,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",8,8,608,2.33108622441217,0.00470948961682568,0.0153109238014262,-1.86708550340467,16.8223642957385,21.1450377975806,0.312157085087077,-3.21613459879206,0.003123834625,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",1,8,9680,2.29171423094958,0.0047050618881233,0.0211195444080684,-0.818191485681076,10.1222719730493,36.034445876236,0.247412172658034,3.24151876439507,0.00293588849390496,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",2,8,15,3.4043990589869,0.00820441436327476,0.05445841401199,-0.785270557549382,8.83360570319879,151.577905615314,0.150657594166669,0,0.00588050473333333,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",5,8,9,3.17638965218732,0.00749718354533331,0.0483614931955976,-0.802414249938488,8.73156633458095,128.920027097752,0.155034988881655,0,0.00537171966666667,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",3,8,15,1.91016803629767,0.00357099236631184,0.0101981950865892,-2.51203109782751,23.349786800462,12.9924809209674,0.351819953442677,-3.90163934426229,0.002395538,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",4,8,10,3.78533640764506,0.0080356134103368,0.0388538626565105,-1.13992594176835,13.3730881301659,73.1083856143409,0.206900703411482,0,0.0067053546,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",6,8,7,2.94856730178001,0.00700707762001875,0.0465610445197734,-0.965144819337923,8.79550722313801,102.919675332532,0.150516362924812,0,0.00545778157142857,"CPTUtility_100"
"dbScan","cumRet_sigma_skew_maxDD",7,8,8,2.57279505907547,0.0063979700562559,0.049531683871956,-0.720199076438156,5.93889432724444,130.128970153066,0.129167787726896,0,0.001003293,"CPTUtility_100"
"kMeans","ir_skew_kurt",1,5,2846,2.45081883677815,0.00507894777763358,0.0220171758705649,-1.06131192027503,10.7506667179525,36.6129992059703,0.240450082255156,-0.699756920843749,0.00331214693113141,"CPTUtility_100"
"kMeans","ir_skew_kurt",2,5,621,1.96328425324459,0.00375848898561476,0.0147781674559258,0.390392566149368,17.3187810491131,20.041307340175,0.260294117751267,-2.34312716137378,0.00374409677133655,"CPTUtility_100"
"kMeans","ir_skew_kurt",5,5,1700,1.89851548811472,0.00353178008041182,0.011347333725035,-0.201250078884515,6.49014798975813,10.5857979969328,0.32549961060293,21.9753712632594,0.00296391928764706,"CPTUtility_100"
"kMeans","ir_skew_kurt",4,5,1497,2.39955200988372,0.00487150195560833,0.0164879559521985,-1.56119359007865,16.3895609581761,24.3599724681218,0.305655434859401,-3.04462476866301,0.00361914437274549,"CPTUtility_100"
"kMeans","ir_skew_kurt",3,5,3336,2.41795610499408,0.00522219362829401,0.0297923963897294,-0.829644586395716,7.53354817686713,60.4327505861972,0.181450415270644,0.546526713055785,0.00225830108063549,"CPTUtility_100"
"hierarchical","ir_skew_kurt",1,5,3056,2.47103588070817,0.00509994034623563,0.0204283487402425,-1.35381071733726,13.3064800066857,33.1128184069427,0.262198686593793,-1.78273324178182,0.00343389058573298,"CPTUtility_100"
"hierarchical","ir_skew_kurt",2,5,303,2.16078632477583,0.00429711530483229,0.0172867901108984,-0.533750677173962,20.2189637960975,27.1929270813573,0.250907020663857,-3.00178542444408,0.00409630392079208,"CPTUtility_100"
"hierarchical","ir_skew_kurt",3,5,1265,1.9549639770262,0.00367115098488259,0.0104551319708365,-0.382385872704982,8.24114772118233,10.4588486629301,0.359162425087141,15.3349834769649,0.00308947835494071,"CPTUtility_100"
"hierarchical","ir_skew_kurt",4,5,5348,2.31049687153837,0.00484384433384511,0.0250906117088041,-0.644465584339751,8.35409823988568,46.7430308247304,0.208330025265296,3.17363929521684,0.00262571013874346,"CPTUtility_100"
"hierarchical","ir_skew_kurt",5,5,28,1.58452063607656,0.00251001481093425,0.00432970540428047,0.153780756987821,5.64226360520667,2.43702025090572,0.58586550815247,41.5409836065574,0.00200110435714286,"CPTUtility_100"
"dbScan","ir_skew_kurt",1,12,9647,2.32573783618039,0.00480394579710189,0.021935062046195,-0.861171866767263,10.0205170099072,38.2076060566318,0.242124151793496,3.09648969271004,0.00297304627956878,"CPTUtility_100"
"dbScan","ir_skew_kurt",3,12,8,1.93431114428713,0.00367804884948332,0.0132962679292383,1.59916179727129,20.6942715247198,15.3234047672563,0.276885443974107,-2.98360655737705,0.004011634125,"CPTUtility_100"
"dbScan","ir_skew_kurt",2,12,10,1.9312551228469,0.00369195887540982,0.0149033530577518,1.34121079140272,22.4455571792603,18.8173346265091,0.248246843848521,-2.98360655737705,0.0037340796,"CPTUtility_100"
"dbScan","ir_skew_kurt",10,12,6,2.09363292307083,0.00405640325822229,0.0112334664738203,-0.100883794616453,15.4514520572616,15.5802790472869,0.361871884654783,-2.98360655737705,0.00399609616666667,"CPTUtility_100"
"dbScan","ir_skew_kurt",4,12,13,1.55190716031613,0.00245565054129553,0.0114276581245339,-0.49152327752365,31.5979664183653,17.5127057252909,0.216585948166441,-2.98360655737705,0.00167084361538462,"CPTUtility_100"
"dbScan","ir_skew_kurt",11,12,6,1.99335189057208,0.00381938303157367,0.0118494202506459,0.868883555369546,16.9862197709202,15.0095611433682,0.322462458114882,-2.98360655737705,0.00387386433333333,"CPTUtility_100"
"dbScan","ir_skew_kurt",7,12,10,1.91533427679822,0.00360819312417998,0.0120004960066804,1.45760314648152,16.2511437836784,11.9482243819104,0.301398560570941,-2.98360655737705,0.0036896472,"CPTUtility_100"
"dbScan","ir_skew_kurt",8,12,6,2.03756270883433,0.00390808748702703,0.0109769140723071,-0.390597569352434,13.7226218225072,13.7074259645268,0.357332588583868,-3.13661202185792,0.00358730266666667,"CPTUtility_100"
"dbScan","ir_skew_kurt",5,12,8,1.89876143794975,0.00363249613688993,0.0170287285239669,1.31151310211086,16.88469192478,18.2580222279164,0.213384144569842,-2.98360655737705,0.0041085845,"CPTUtility_100"
"dbScan","ir_skew_kurt",6,12,6,1.92149006155402,0.00360539597782017,0.0116773416612152,1.2089048008385,18.4425611847634,13.9231170151744,0.308815447698407,-2.98360655737705,0.00365977116666667,"CPTUtility_100"
"dbScan","ir_skew_kurt",9,12,6,1.80355897991128,0.00320836432638223,0.00664760229607156,-0.137729975146882,5.15678222265594,4.51130327107936,0.481466378968916,15.3770491803279,0.00266593383333333,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",7,8,2303,2.06952339551764,0.00409974264164149,0.0172340511690909,-0.860489015611217,7.75544691964476,26.9147550391039,0.25151533939073,0.238548436465624,0.00196293973643074,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",5,8,594,1.94779380412519,0.00371403276802024,0.0144788181167442,0.418406420426617,17.3430087826631,19.5891386962281,0.263529277228006,-2.69868079704145,0.00368738945117845,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",8,8,921,3.1934430226999,0.00711139258631989,0.0390992648676455,-0.914288450370565,10.5288634187747,79.986647405909,0.184380849140273,-0.136060233886901,0.00564638481216069,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",1,8,1323,1.83444934924583,0.00335224829897118,0.0113988177951987,-0.0155466143319812,5.8701683748526,10.0436028518886,0.312524668618631,29.762734966482,0.00291789566137566,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",2,8,1449,2.23986235956003,0.00451154312015484,0.0162992890435266,-1.19634014300138,13.0165653422175,24.4302539180831,0.287569436699929,-2.25659301496792,0.00324936827674258,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",3,8,826,2.50168894356992,0.00513642194519034,0.018035445654089,-1.78262957003586,18.167515940101,27.2466846302517,0.292232315548397,-3.07140872464573,0.0036518547748184,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",4,8,1196,2.35787169969045,0.00523977422972869,0.0333743194525272,-0.799230388540482,6.72191822909486,72.7626228829781,0.159570164797228,-0.309912824167992,0.00116053898411371,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_kurt",6,8,1388,2.6346740589909,0.00563938704424754,0.0269354218857447,-1.05717374687806,10.4604168407348,48.4202625786164,0.211973091588255,-0.60717154060566,0.00349945342939481,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",1,8,2545,2.09131980468565,0.00417046907727946,0.0179120092720987,-0.914507788123085,8.69982038454733,29.2960941374763,0.251369195486431,-0.79413829752971,0.00198444367387033,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",2,8,256,1.92937596846071,0.0036586717209934,0.0148151682656197,0.135031276491309,20.6611319906798,22.0097357258853,0.251780536530161,-2.98360655737705,0.00354509141015625,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",3,8,1288,3.08709352933059,0.00683143847119127,0.0366660197458419,-0.931771670010656,10.4613496890609,73.3858894663052,0.189744679967857,-0.225409836065574,0.00521524407841615,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",4,8,1891,1.8916273680335,0.00353053257860217,0.0123632075844081,-0.112804623274391,6.71781622439442,12.4511965409601,0.301323351957847,21.2182642543194,0.00294258740772078,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",5,8,2242,2.41565730196484,0.00500019265015601,0.0200584087701561,-1.25426138853593,13.2156242494352,32.4502872048345,0.258541306819315,-1.70700925695734,0.00336012185727029,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_kurt",6,8,406,2.51978244104148,0.00513728554224892,0.0174526884847928,-2.01061411516164,19.0354200447121,26.191302294864,0.304687116788796,-3.13001695873375,0.00355136785960591,"CPTUtility_100"
