folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
96,-0.014092867,0.000628786,-0.005259875,0.652429584,-0.520778962,-0.135605364,-0.018388815,0.003552897,0.003369202,0.003185506,0.002818115
97,-0.015541177,0.006029527,-0.002598754,1.11213939,-0.328854659,-0.054072694,-0.002923856,0.00606637,0.005534707,0.005003043,0.003939715
98,-0.013515003,0.000587443,-0.005053535,0.821016191,-0.439984319,-0.0967931,-0.009368904,0.004472823,0.004293714,0.004114605,0.003756387
99,-0.015031436,0.000194135,-0.005896093,0.658898517,-0.517420951,-0.13386222,-0.017919094,0.003587674,0.003404267,0.003220861,0.002854047
100,-0.016961025,0.00565066,-0.003394014,1.112632207,-0.328692634,-0.054019424,-0.002918098,0.006072879,0.005521802,0.004970725,0.003868571
101,-0.006287264,0.003273698,-0.000550687,0.628261096,-0.533518733,-0.142321119,-0.020255301,0.003419781,0.003338986,0.003258191,0.0030966
102,-0.003258691,0.003421743,0.00074957,0.543660449,-0.580619032,-0.16855923,-0.028412214,0.002958589,0.002912028,0.002865466,0.002772342
103,-0.006668972,0.003972671,-0.000283986,0.861480656,-0.422535988,-0.089268331,-0.007968835,0.004693031,0.004566689,0.004440347,0.004187663
104,-0.026274343,0.005098386,-0.007450706,1.139551359,-0.319962538,-0.051188013,-0.002620213,0.00623769,0.005131374,0.004025058,0.001812427
105,-0.003904619,0.00425447,0.000990834,0.658696727,-0.517525372,-0.133916255,-0.017933563,0.003584299,0.00349597,0.00340764,0.003230981
106,-0.008419028,0.001854227,-0.002255075,0.76083953,-0.467273972,-0.109172482,-0.011918631,0.004144256,0.004048518,0.003952781,0.003761305
107,-0.017743646,-0.000983576,-0.007687604,0.69133356,-0.500907633,-0.125454228,-0.015738763,0.003765609,0.003533862,0.003302115,0.002838622
108,-0.015460945,0.003546515,-0.004056469,1.090823347,-0.335939785,-0.056427769,-0.003184093,0.005955013,0.005564395,0.005173777,0.00439254
109,-0.008410183,0.003308305,-0.00137909,0.8493419,-0.427696306,-0.091462065,-0.008365309,0.00462703,0.004482669,0.004338308,0.004049586
110,-0.020363516,0.002952968,-0.006373626,0.975927338,-0.376842731,-0.071005222,-0.005041742,0.005324363,0.004791269,0.004258175,0.003191988
111,-0.018574426,0.004158184,-0.00493486,0.992282165,-0.370729659,-0.06872024,-0.004722471,0.005417455,0.004856154,0.004294853,0.003172252
112,-0.013783051,0.000552025,-0.005182005,0.625830169,-0.534817255,-0.143014748,-0.020453218,0.003406979,0.003251361,0.003095742,0.002784506
113,-0.00652402,0.004079579,-0.000161861,0.905606345,-0.404296668,-0.081727898,-0.006679449,0.004934345,0.004810709,0.004687073,0.0044398
114,-0.010779418,0.004725734,-0.001476327,1.007454038,-0.365147449,-0.06666633,-0.0044444,0.005494789,0.005189144,0.004883499,0.004272209
115,-0.011337592,0.000795607,-0.004057673,0.59995365,-0.548837074,-0.150611067,-0.022683693,0.003266796,0.003137627,0.003008457,0.002750118
116,-0.00424648,0.002999712,0.000101235,0.708044414,-0.492606591,-0.121330627,-0.014721121,0.003855792,0.003803975,0.003752158,0.003648523
117,-0.005442656,0.003917377,0.000173364,0.776222807,-0.460140773,-0.105864766,-0.011207349,0.004227321,0.004115619,0.004003916,0.00378051
118,-0.003912188,0.002684819,4.60E-05,0.457519953,-0.632851201,-0.200250322,-0.040100191,0.002489326,0.002448509,0.002407693,0.002326059
119,-0.007638913,0.003609081,-0.000890117,0.623456911,-0.536088022,-0.143695184,-0.020648306,0.003391766,0.003245647,0.003099528,0.00280729
