"clusterMethod","clusterDimension","utility","ust3m","ust10","tips","mbs","agency","usIGCredit","usHYCredit","cmbs","em","intlBond","spx","intlEq","emStock","reit"
"dbScan","ir_skew_kurt","crraUtility_1",0.0653771314696806,0.0720939467191029,0.0734044849078691,0.066795178310133,0.0685671327620779,0.0733175596534782,0.0754450736906089,0.067656598233722,0.07247460272477,0.0738493780310854,0.0727675931812618,0.0716120255390209,0.0745644991596041,0.0720747956175852
"dbScan","cumRet_sigma_skew_kurt","crraUtility_1",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
"kMeans","ir_skew_kurt","crraUtility_3",0.0494250625203405,0.0570671518928341,0.10530647292636,0.0584105582018196,0.0567887403891315,0.0827820697715879,0.08929921001728,0.0743103305236531,0.0718431544339629,0.0514011960135163,0.0903427431819167,0.0649549135700875,0.0352893082888205,0.112779088268689
"kMeans","cumRet_sigma_skew_kurt","crraUtility_3",0.0145026243788804,0.0249766371224023,0.032071767797912,0.0220271547058502,0.0294440332390611,0.03773012872665,0.080746640958171,0.0401768265828494,0.0604531397257833,0.0251009435972844,0.0661145733536426,0.0500227574450667,0.106374822233942,0.410257950132504
"hierarchical","ir_skew_kurt","crraUtility_3",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","crraUtility_3",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
"dbScan","ir_skew_kurt","crraUtility_3",0.0653771314696806,0.0720939467191029,0.0734044849078691,0.066795178310133,0.0685671327620779,0.0733175596534782,0.0754450736906089,0.067656598233722,0.07247460272477,0.0738493780310854,0.0727675931812618,0.0716120255390209,0.0745644991596041,0.0720747956175852
"dbScan","cumRet_sigma_skew_kurt","crraUtility_3",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
"kMeans","ir_skew_kurt","crraUtility_5",0.0815991984743953,0.0211212630467381,0.0800483460638988,0.070615000298383,0.0630715706484343,0.0821989899850371,0.19669593424528,0.0545442150590301,0.252189003988548,0.0253462723137395,0.0334718216514254,0.0153465102391696,0.0075222498906607,0.0162296240952602
"kMeans","cumRet_sigma_skew_kurt","crraUtility_5",0.0144832761845736,0.0249225165652573,0.0320022731764648,0.0219794252265309,0.0293802325169829,0.0376483733014568,0.0808339503721383,0.0400897695371661,0.0612382022281029,0.0250465536869978,0.0663706660580459,0.0499143657712962,0.106603213671276,0.40948718170371
"hierarchical","ir_skew_kurt","crraUtility_5",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","crraUtility_5",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
"dbScan","ir_skew_kurt","crraUtility_5",0.0653771314696806,0.0720939467191029,0.0734044849078691,0.066795178310133,0.0685671327620779,0.0733175596534782,0.0754450736906089,0.067656598233722,0.07247460272477,0.0738493780310854,0.0727675931812618,0.0716120255390209,0.0745644991596041,0.0720747956175852
"dbScan","cumRet_sigma_skew_kurt","crraUtility_5",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
